"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","36","test_health","tests","Sat Aug 08 17:41:40 MSK 2026","passed","Sat Aug 08 17:41:40 MSK 2026","","test_api","",""
"","4","test_add_negative_quantity","tests","Sat Aug 08 17:41:41 MSK 2026","passed","Sat Aug 08 17:41:41 MSK 2026","","test_api","",""
"","7","test_update_cart_item","tests","Sat Aug 08 17:41:41 MSK 2026","passed","Sat Aug 08 17:41:41 MSK 2026","","test_api","",""
"","5","test_search_product","tests","Sat Aug 08 17:41:40 MSK 2026","passed","Sat Aug 08 17:41:40 MSK 2026","","test_api","",""
"","6","test_add_out_of_stock","tests","Sat Aug 08 17:41:41 MSK 2026","passed","Sat Aug 08 17:41:41 MSK 2026","","test_api","",""
"","6","test_register_new_user","tests","Sat Aug 08 17:41:41 MSK 2026","passed","Sat Aug 08 17:41:41 MSK 2026","","test_api","",""
"","8","test_add_to_cart","tests","Sat Aug 08 17:41:41 MSK 2026","passed","Sat Aug 08 17:41:41 MSK 2026","","test_api","",""
"","6","test_order_not_found","tests","Sat Aug 08 17:41:41 MSK 2026","passed","Sat Aug 08 17:41:41 MSK 2026","","test_api","",""
"","7","test_create_order","tests","Sat Aug 08 17:41:41 MSK 2026","passed","Sat Aug 08 17:41:41 MSK 2026","","test_api","",""
"","8","test_delete_cart_item","tests","Sat Aug 08 17:41:41 MSK 2026","passed","Sat Aug 08 17:41:41 MSK 2026","","test_api","",""
"","5","test_get_product_not_found","tests","Sat Aug 08 17:41:41 MSK 2026","passed","Sat Aug 08 17:41:41 MSK 2026","","test_api","",""
"","5","test_login_fail","tests","Sat Aug 08 17:41:41 MSK 2026","passed","Sat Aug 08 17:41:41 MSK 2026","","test_api","",""
"","9","test_stock_decreased_after_order","tests","Sat Aug 08 17:41:41 MSK 2026","passed","Sat Aug 08 17:41:41 MSK 2026","","test_api","",""
"","14","test_total_recalculation","tests","Sat Aug 08 17:41:41 MSK 2026","passed","Sat Aug 08 17:41:41 MSK 2026","","test_api","",""
"","7","test_get_products","tests","Sat Aug 08 17:41:40 MSK 2026","passed","Sat Aug 08 17:41:40 MSK 2026","","test_api","",""
"","7","test_get_product_by_id","tests","Sat Aug 08 17:41:40 MSK 2026","passed","Sat Aug 08 17:41:40 MSK 2026","","test_api","",""
"","5","test_login_success","tests","Sat Aug 08 17:41:41 MSK 2026","passed","Sat Aug 08 17:41:41 MSK 2026","","test_api","",""
"","11","test_cart_cleared_after_order","tests","Sat Aug 08 17:41:41 MSK 2026","passed","Sat Aug 08 17:41:41 MSK 2026","","test_api","",""
"","6","test_register_duplicate_email","tests","Sat Aug 08 17:41:41 MSK 2026","passed","Sat Aug 08 17:41:41 MSK 2026","","test_api","",""
"","8","test_empty_cart","tests","Sat Aug 08 17:41:41 MSK 2026","passed","Sat Aug 08 17:41:41 MSK 2026","","test_api","",""
